X,Y,Class
1.175403,-1.487053,1
2.143762,-0.659174,1
-1.397697,-2.216552,0
-2.183458,-1.058424,0
1.599835,-0.686820,1
1.309380,-1.485412,1
-1.148426,-1.142567,0
-0.762687,-1.678263,0
0.392045,-0.553627,1
1.583611,-0.252788,1
-0.650718,-1.606927,0
1.230700,-1.058062,1
1.236410,-1.075678,1
-1.540666,-0.623232,0
0.467497,-1.342118,1
2.220151,-1.473295,1
0.447580,0.175229,0
1.594066,-0.867561,1
-0.104648,-0.930115,1
0.182090,-1.485355,0
-1.898217,-0.810754,1
-0.470774,-1.051308,0
2.281573,-0.567340,1
1.222663,-1.098143,1
1.803219,-1.054145,1
0.319850,0.025757,1
-0.619718,-1.848650,0
-1.730732,-1.002137,0
-1.141829,-0.230854,0
-1.503459,-0.872254,0
1.334011,-1.791520,1
-1.374314,0.188950,0
3.355026,-1.396437,1
-1.515518,-0.874672,0
-1.977193,-0.746192,1
-1.967340,-1.441688,0
3.078752,-1.109830,1
2.582513,-0.736835,1
0.840237,-1.461806,1
-0.162016,-1.202408,0
2.028259,-1.385242,1
-1.016627,-1.341409,1
1.522341,-1.426325,1
-1.877539,0.280826,0
-0.053341,-1.895659,0
-1.926343,-0.622664,0
-1.091690,-1.011371,0
0.081013,-1.338747,0
1.259388,-1.590998,1
-1.057921,-0.982562,1
-0.244369,-1.341201,0
0.558735,-1.077655,1
-1.309494,0.048659,0
1.647823,0.137397,1
-2.309551,-2.100738,0
2.708908,-0.912995,1
1.781336,-1.467501,1
2.069907,-0.948513,1
-1.891236,-0.792571,0
0.451714,-1.290527,1
-1.158029,-1.254243,0
-1.454741,-0.249645,0
-0.318755,-2.549369,0
-1.784620,-0.162878,0
-0.794578,-1.421725,0
-0.470107,-1.319607,1
-0.202162,-1.645799,0
0.781012,0.056759,0
1.874435,-0.979902,1
-0.349228,-0.843917,1
-1.843599,-0.500295,0
-0.967913,-1.096295,0
0.146159,-1.486560,1
2.289057,-1.359465,1
2.475351,-0.594971,1
2.078414,-1.231293,1
2.506232,-0.262281,1
-0.569013,-0.820606,0
-1.221764,-0.531751,0
0.934246,-0.670991,1
-0.067420,-1.333241,1
-1.356618,-0.771637,0
1.241229,-1.312596,1
-0.585087,-2.180668,0
0.125397,-1.591896,1
-1.988315,-0.857736,1
-2.613390,-1.283284,1
-0.243909,-1.179202,0
-2.331829,-1.641866,0
-0.721358,-1.451660,0
-3.119124,0.250040,0
1.028239,-0.595498,1
-0.512672,-1.165454,1
-1.365920,-1.497484,0
-2.344682,-0.463668,0
0.443215,-1.318970,0
-0.725816,-1.268300,0
-3.185465,-1.067874,0
-1.892844,-0.707207,0
-1.874143,-1.024953,0
